2018-06-15 16:10:18.406340;{"average_price_thb": 4.213763331962025, "symbols_count": 600, "average_change_pct": -0.07663333333333329, "total_shares_value_thb": 43547718900.0};
2018-06-15 16:10:44.234481;{"average_price_thb": 4.2137607086405415, "symbols_count": 600, "average_change_pct": -0.12493333333333337, "total_shares_value_thb": 43637041130.0};
2018-06-15 16:10:47.038741;{"average_price_thb": 4.2137607086405415, "symbols_count": 600, "average_change_pct": -0.12493333333333337, "total_shares_value_thb": 43637041130.0};
2018-06-15 16:11:11.720483;{"average_price_thb": 4.2137607086405415, "symbols_count": 600, "average_change_pct": -0.12493333333333337, "total_shares_value_thb": 43637041130.0};
2018-06-15 16:11:31.627836;{"average_price_thb": 4.2137607086405415, "symbols_count": 600, "average_change_pct": -0.12493333333333337, "total_shares_value_thb": 43637041130.0};
2018-06-15 16:11:49.134132;{"average_price_thb": 4.199853455423207, "symbols_count": 600, "average_change_pct": -0.11568333333333335, "total_shares_value_thb": 43883566670.0};
2018-06-15 16:12:32.010821;{"average_price_thb": 4.199853455423207, "symbols_count": 600, "average_change_pct": -0.11568333333333335, "total_shares_value_thb": 43883566670.0};
2018-06-15 16:13:01.039259;{"average_price_thb": 4.19985345803116, "symbols_count": 600, "average_change_pct": -0.12548333333333342, "total_shares_value_thb": 44573604640.0};
2018-06-15 16:13:16.691522;{"average_price_thb": 4.19985345803116, "symbols_count": 600, "average_change_pct": -0.12548333333333342, "total_shares_value_thb": 44573604640.0};
2018-06-15 16:13:37.743470;{"average_price_thb": 4.206103390078229, "symbols_count": 600, "average_change_pct": -0.13110000000000005, "total_shares_value_thb": 45156431160.0};
2018-06-15 16:14:05.263514;{"average_price_thb": 4.206103390078229, "symbols_count": 600, "average_change_pct": -0.13110000000000005, "total_shares_value_thb": 45156431160.0};
2018-06-15 16:14:28.996962;{"average_price_thb": 4.206103390078229, "symbols_count": 600, "average_change_pct": -0.13110000000000005, "total_shares_value_thb": 45156431160.0};
2018-06-15 16:14:38.700299;{"average_price_thb": 4.212353008612137, "symbols_count": 600, "average_change_pct": -0.18420000000000009, "total_shares_value_thb": 45575531090.0};
2018-06-15 16:14:53.675306;{"average_price_thb": 4.212353008612137, "symbols_count": 600, "average_change_pct": -0.18420000000000009, "total_shares_value_thb": 45575531090.0};
2018-06-15 16:15:22.994799;{"average_price_thb": 4.212353008612137, "symbols_count": 600, "average_change_pct": -0.18420000000000009, "total_shares_value_thb": 45575531090.0};
2018-06-15 16:15:37.407098;{"average_price_thb": 4.212353419880525, "symbols_count": 600, "average_change_pct": -0.14861666666666679, "total_shares_value_thb": 45753845270.0};
