2018-07-05 09:22:00.774999;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:22:31.997453;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:23:03.446093;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:23:34.583212;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:24:06.134853;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:24:37.617568;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:25:09.150858;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:25:40.480953;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:26:12.250315;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:26:44.132708;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:27:15.658050;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:27:46.928361;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:28:18.540036;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:28:50.837017;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:29:22.565850;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:29:54.242964;{"average_price_thb": 0.0, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:30:25.828808;{"average_price_thb": 4.362675200063522, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:30:57.497608;{"average_price_thb": 4.362675200063522, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:31:29.140701;{"average_price_thb": 4.807875357999824, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
